Country,Location ,Restaurants,Chef(s),Awarded since
Austria,Vienna,Restaurant Amador,Juan Amador,2019
Belgium,Kruishoutem,Hof van Cleve,Peter Goossens,2005
Belgium,Antwerp,Zilte,Viki Geunes,2021
China,Beijing,Xin Rong Ji,Zhang Yong (Founder),2020
China,Beijing,King's Joy,Gary Yin,2021
China,Shanghai,Ultraviolet,Paul Pairet,2018
Denmark,Copenhagen,Geranium,Rasmus Kofoed,2016
Denmark,Copenhagen,Noma,René Redzepi,2021
France,Annecy-le-Vieux,Le Clos de Sens,Laurent Petit,2019
France,Chagny,Maison Lameloise,Éric Pras,2007
France,Courchevel 1850,Le 1947,Yannick Alléno and Gérard Barbin,2017
France,Eugénie-les-Bains,Les Prés d'Eugénie - Michel Guérard,Michel Guérard,1977
France,Fontjoncouse,Auberge du Vieux Puits,Gilles Goujon,2010
France,La Rochelle,Christopher Coutanceau,Christopher Coutanceau,2020
France,Le Castellet,Christophe Bacquié,Christophe Bacquié,2018
France,Les Baux-de-Provence,L'Oustau de Baumanière,Glenn Viel,2020
France,Saint-Martin-de-Belleville,René et Maxime Meilleur,Maxime Meilleur,2015
France,Marseille,AM par Alexandre Mazzia,Alexandre Mazzia,2021
France,Marseille,Le Petit Nice,Gérald Passedat,2008
France,Megève,Flocons de Sel,Emmanuel Renaut,2012
France,Menton,Mirazur,Mauro Colagreco,2019
France,Monte Carlo,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Franck Cerutti and Dominique Lory,1990
France,Ouches,Le Bois sans Feuilles - Troisgros,Michel and César Troisgros,1968
France,Paris 1e,Kei,Kei Kobayashi,2020
France,Paris 4e,L'Ambroisie,Bernard Pacaud,1988
France,Paris 6e,Guy Savoy,Guy Savoy,2002
France,Paris 7e,Arpège,Alain Passard,1996
France,Paris 8e,Alléno Paris au Pavillon Ledoyen,Yannick Alléno,2015
France,Paris 8e,Epicure,Éric Fréchon,2009
France,Paris 8e,Le Cinq,Christian Le Squer,2016
